Series_Accession,Platform,Platform_Description,Sample,Drug,Disease,Tissue,PMID,Download,file_path,normalized
GSE6728,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,15,NMD inhibition,Mantle Cell Lymphoma,Mantle Cell Lymphoma cell lines,17332242,,,
GSE201437,GPL16791,Illumina HiSeq 2500 (Homo sapiens),14,Physiological Calcium Combined with Electrical Pacing,Maturation of Human Engineered Heart Tissue,engineered heart tissues (EHTs),35931080,,,
GSE87875,GPL15207,[PrimeView] Affymetrix Human Gene Expression Array,14,Withanolide F,Cancers of the colon,Cancers of the colon,27973612,,,
GSE82329,GPL16791,Illumina HiSeq 2500 (Homo sapiens),14,Drug: BET bromodomain inhibitors (BETi),Ovarian carcinoma (OC),Ovarian carcinoma cell lines,27452461,,,
GSE66539,GPL11154,Illumina HiSeq 2000 (Homo sapiens),14,Vemurafenib,metastatic melanoma,patient derived xenografts (PDX),30286710; 27320919,,,
GSE61544,GPL11154,Illumina HiSeq 2000 (Homo sapiens),14,BRAF pathway inhibitors (e.g.; vemurafenib) and AXL inhibitors,Melanoma,Melanoma cell lines and biopsies from vemurafenib-resistant patients,25502142,,,
GSE40885,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,14,Lipopolysaccharide (LPS),Lung diseases,Human alveolar macrophages,22952057,,,
GSE27255,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],14,mTOR inhibitor Rapamycin; HIV protease inhibitor Nelfinavir; and small molecule Akt inhibitor MK-2206.,Diffuse Large B-Cell Lymphoma (DLBCL),DLBCL cell lines,22338016,,,
GSE18331,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
",14,Inhibitors of the phosphatidylinositol-3-kinase pathway and histone deacetylase inhibitor valproic acid.,Aggressive breast cancer,Breast cancer pleural effusion samples from triple-negative patients,21772261,,,
GSE161584,GPL18573,Illumina NextSeq 500 (Homo sapiens),14,Erlotinib; Cetuximab; and Trastuzumab,Lung cancer,PC9 xenograft tumors in a lung cancer model,33660397,,,
GSE119397,GPL16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],13,trastuzumab,HER2 positive breast cancer,HER2 positive breast cancer cells,30928382; 30952871,,,
GSE96636,GPL13497,Agilent-026652 Whole Human Genome Microarray 4x44K v2 (Probe Name version),13,FK866,T cell acute lymphoblastic leukemia; breast cancer,CCRF-CEM cells; MDA MB231 cells ,29541451,,,
GSE58700,GPL18850,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [Version 14],13,various commercially available compounds targeting proteins in the ErbB2 signaling pathway,breast cancer,HER2 positive breast cancer cell lines,,,,
GSE215801,GPL18573,Illumina NextSeq 500 (Homo sapiens),12,Prostaglandin E2 (PGE2),Acute myocardial infarction (AMI),Blood,36526599,,,
GSE198860,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),12,AAT,Ischemic cholangiopathy,Human intrahepatic cholangiocyte organoids,36608526,,,
,GPL16791,Illumina HiSeq 2500 (Homo sapiens),,Multikinase inhibitors (TKIs),hepatocellular carcinoma,HCC cell lines,36275751,,,
GSE171883,GPL18573; GPL21185; GPL26167,Illumina NextSeq 500 (Homo sapiens); Agilent-072363 SurePrint G3 Human GE v3 8x60K Microarray 039494 [Probe Name Version]; PromethION (Homo sapiens),12,Nintedanib,Melanoma,ECM (extracellular matrix),35156321,,,
GSE174115,GPL20301,Illumina HiSeq 4000 (Homo sapiens),12,Small functional peptide derived from Kaposi's sarcoma-associated herpesvirus transactivator (K-Rta),Cancer (specifically targeting c-Myc protein),Leukemia cells,34857874,,,
GSE185518,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",12,,Brown adipocyte development in humans,Pluripotent stem cells (hPSCs) differentiated into brown adipocytes,,,,
GSE137940,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",12,Cisplatin,Lung cancer,A549 lung cancer cells,,,,
GSE180379,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,Sodium stibogluconate,Cutaneous leishmaniasis,Whole blood transcriptomes,34609968,,,
GSE161418,GPL20301,Illumina HiSeq 4000 (Homo sapiens),12,Pyridostatin (PDS),Breast cancer (MCF-7 cell line),Cancer cells (MCF-7 breast cancer cells),34139015,,,
GSE178880,GPL6824,Whitehead Institute Human Operon/Qiagen v3.1 oligonucleotide array,12,Tamoxifen (TAM) and Nano-emulsions of Tamoxifen (N-TAM),,HTB-20 cells (human primary cells),,,,
GSE176324,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),12,Bleomycin,Type 1 Diabetes (modeling pancreatic beta cell senescence),Human pancreatic islet cells,35660116,,,
GSE150377,GPL21697,"NextSeq 550 (Homo sapiens)",12,CT913 and its metabolite CT913-M1,Ovarian cancer,BRCA1-proficient and BRCA1-deficient ovarian cancer cells,32980128,,,
GSE151385,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",12,KMT2A-AFF1 fusion protein-mediated leukemogenesis,integration of ChIP-seq; patient RNA-seq; and CRISPR essentiality screens,human cell lines SEM or RS4;11,34088716,,,
GSE140441,GPL18460,"Illumina HiSeq 1500 (Homo sapiens)",12,effects of BMP4 and EGFR,chemotherapy,glioma stem cells,32788653,,,
GSE154146,GPL11154,Illumina HiSeq 2000 (Homo sapiens),12,5-FU (fluorouracil),cancer,HCT116 cells (human colorectal carcinoma cell line),33591310,,,
GSE148682,GPL24324,[Clariom_S_Human_HT] Affymetrix Clariom S Assay HT; Human (Includes Pico Assay),12,Domperidone; Imipramine; Niclosamide ethanolamine (NEN); Paclitaxel (mentioned as standard-of-care chemotherapy),cancer,HCT116 cells (human colorectal carcinoma cell line),33665961,,,
GSE149940,GPL4133,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version),12,poly-ADP ribose polymerase inhibitors (PARPIs); olaparib; niraparib,high-grade serous ovarian cancer (HGSOC),ascites-derived primary cell cultures (AsPCs) from EOC patients.,33213473,,,
GSE147626,GPL11154; GPL20301,Illumina HiSeq 2000 & 4000 (Homo sapiens),12,,,Cell lines (U-87 MG and HCT116),32571799,,,
GSE140258,GPL17586,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],12,Talazoparib (PARP inhibitor),Colorectal cancer,Colorectal cancer cell lines,32799124,,,
GSE137535,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,Dexamethasone; SH4-54 (STAT3 inhibitor),Breast cancer,MDA-MB-231 breast cancer cell line,32816914,,,
GSE137524,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,Cetuximab (anti-EGFR therapy); JQ1 (inhibitor of alternative receptor tyrosine kinases),Head and neck squamous cell carcinoma (HNSCC),HNSCC cell lines,32362655,,,
GSE140077,GPL20795,HiSeq X Ten (Homo sapiens),12,gemcitabine,pancreatic cancer,human pancreatic cancer cell lines,31823522,,,
GSE136420,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",12,,Breast cancer and prostate cancer,Breast cancer cell lines (MCF7 and MDA-MB-231),31959131,,,
GSE135095,GPL10999; GPL10999; GPL11154,Illumina Genome Analyzer IIx (Homo sapiens); Illumina HiSeq 2000 (Homo sapiens; Trichophyton rubrum),12,Terbinafine,Fungal infection (specifically Trichophyton rubrum),Human keratinocytes (HaCat cell line),31795354,,,
GSE130903,GPL11154,Illumina HiSeq 2000 (Homo sapiens),12,Palbociclib,Early stage breast cancer (ductal carcinoma in situ and invasive disease),Human breast cancer cells and mouse mammary tumors.,31451564,,,
GSE128191,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),12,Nutlin3a,,Human neural crest cells and smooth muscle cells,31178404,,,
GSE101176,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,Endometriosis,Endometrial stromal cells,,,,
GSE126484,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Elafibranor,Non-alcoholic steatohepatitis (NASH),Human skin-derived precursors (hSKP-HPC),35269515,,,
GSE131841,GPL20301,Illumina HiSeq 4000 (Homo sapiens),12,,Autosomal recessive polycystic kidney disease (ARPKD),Kidney organoids (vascularized three-dimensional kidney organoids) derived from human pluripotent stem cells (hPSCs),31303547,,,
GSE123379,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,PF-03084014,Enzalutamide-resistant prostate cancer,Prostate cancer cells (enzalutamide-sensitive and enzalutamide-resistant) from Homo sapiens.,,,,
GSE28660,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,Pelvic organ prolapse (recurrent and primary),Uterosacral ligament (USL) tissues from Homo sapiens.,,,,
GSE111014,GPL20301,Illumina HiSeq 4000 (Homo sapiens),12,Ibrutinib,Chronic lymphocytic leukemia (CLL),Peripheral blood mononuclear cells (PBMCs) from Homo sapiens.,31996669,,,
GSE104908,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,Dexamethasone,Chronic inflammatory diseases,Airway epithelial cells (BEAS-2B cell lines) from Homo sapiens.,,,,
GSE118190,GPL21290,"Illumina HiSeq 3000 (Homo sapiens)",12,ETC-159,RNF43 mutant pancreatic adenocarcinoma,HPAF-II (in vitro model),33092630; 30300142,,,
GSE116528,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,YM155,Colorectal cancer,Human colorectal cancer cells (cell lines),33186476,,,
GSE109731,GPL20301,Illumina HiSeq 4000 (Homo sapiens),12,Vemurafenib; Tretinoin (ATRA),Melanoma,A375 melanoma cells.,30820351,,,
GSE112211,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,,BPDCN (Blastic plasmacytoid dendritic cell neoplasm),,29795241,,,
GSE80305,GPL11154,Illumina HiSeq 2000 (Homo sapiens),12,PD0325901,Gastrointestinal stromal tumor (GIST),GIST882 cells,29360641,,,
GSE99867,GPL11154,Illumina HiSeq 2000 (Homo sapiens),12,Trametinib and PLX-4720,Melanoma,melanoma cell lines,30026510,,,
GSE82270,GPL15207,"[PrimeView] Affymetrix Human Gene Expression Array",12,THZ1 and THZ531,Ewing sarcoma,Ewing sarcoma cell lines,29358035,,,
GSE95513,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,JQ1 and Bortezomib,Colorectal cancer,colorectal cancer cell lines (RKO and HCT116),29472532,,,
GSE100020,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,12,Chloroquine and doxorubicin (used as cytotoxic treatment),Neuroblastoma,neuroblastoma cell line BE(2)-C grown under 2D; 3D-Staticic; and 3D-bioreactor conditions; as well as human neuroblastoma tissue samples chosen to resemble characteristics of BE(2)-C cells,28837150,,,
GSE81360,GPL17077,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),12,,Breast cancer,MCF7 and MCF7-HER2 breast cancer cell lines,28423511,,,
GSE73284,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,12,Verteporfin,Prostate cancer,Human prostate cancer cells (PC3),35520391; 28098159,,,
GSE87641,GPL11154,Illumina HiSeq 2000 (Homo sapiens),12,Vemurafenib (a RAF inhibitor),Melanoma,Human melanoma cells (COLO858 and MMACSF),28069687,,,
GSE75793,GPL16686,Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],12,Glutaminase inhibitor (GLS inhibitor),Pulmonary hypertension,Pulmonary arterial endothelial cells (PAECs) from humans.,,,,
GSE83120,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Erlotinib (a targeted cancer therapy),Cancer,PC9 stable cell lines (human lung cancer cells) expressing GFP vector or miR-371-3p.,27484502,,,
GSE80137,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",12,Decitabine (a DNA methyltransferase inhibitor),Glioblastoma (a type of brain cancer),Human Glioblastoma cell lines (U-87; T98G; and LNT-229),27412690,,,
GSE80598,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,12,AP1 dimerizer drug,,THP1 cells (human monocytic leukemia cell line) expressing BFP; IFI16-2xFV; PYHIN1-2xFV; or MNDA-2xFV.,27496731,,,
GSE48056,GPL6883,Illumina HumanRef-8 v3.0 expression beadchip,12,SMIP004,Prostate cancer; breast cancer,human cancer cell lines,23902736,,,
GSE60602,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,HepG2 cells; which are a human hepatocellular carcinoma cell line,,,,
GSE40007,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,endometriosis; which is an inflammatory disease affecting the endometrial tissue.,endometrial stromal cells; which are derived from the endometrial tissue of the human uterus.,,,,
GSE44392,GPL6244,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],12,edelfosine; which is a synthetic ether lipid and a cytotoxic drug.,,unstimulated CD4+ T cells; which are a type of immune cells derived from peripheral blood mononuclear cells (PBMCs) obtained from buffy coat,24667731,,,
GSE56049,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,,Cockayne syndrome; which is a rare genetic disorder that affects the development and aging of various tissues and organs.,CSB-null UV-sensitive syndrome cells (UVSS1KO); which are derived from human cells and are deficient in a SWI/SNF-like ATPase enzyme called CSB.,22483866,,,
GSE36372,GPL6947,"Illumina HumanHT-12 V3.0 expression beadchip",12,β-catenin inhibitor XAV939,Acute lymphoblastic leukemia (ALL),Bone marrow stromal cells (MSCs) and ALL cell lines,23333798,,,
GSE48785,GPL11154,Illumina HiSeq 2000 (Homo sapiens),12,Bortezomib,Myeloma,Myeloma cells (MM1.S),24171104,,,
GSE32569,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Cediranib,Metastatic Alveolar Soft Part Sarcoma (ASPS),Tumor biopsies from patients with ASPS.,23630200,,,
GSE32569,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Cediranib,Metastatic Alveolar Soft Part Sarcoma (ASPS),Tumor biopsies from patients with ASPS.,23630200,,,
GSE43452,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,12,FAK inhibitor Y15; Temozolomide,Glioblastoma,Brain (specifically glioblastoma cells),23387973,,,
GSE43452,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,12,FAK inhibitor Y15; Temozolomide,Glioblastoma,Brain (specifically glioblastoma cells),23387973,,,
GSE39002,GPL6947,"Illumina HumanHT-12 V3.0 expression beadchip",12,Genkwanine M (GENK),,Liver (Huh-7 cell line),,,,
GSE31075,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,Intestinal epithelial cells (sloughed off in stool samples) of full-term 3-month-old infants.,22546241,,,
GSE36007,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,Ewing family of tumors,A673 cells derived from Ewing sarcoma (cell line),23750284; 18591936,,,
GSE26326,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,Atherosclerosis,Macaca fascicularis (cynomolgous monkey),Iliac artery,23760433; 21646924,,,
GSE27354,GPL11094,[GLYCOv2a520086F] Custom Affymetrix Glyco v2 GeneChip,12,Metastatic breast cancer,,4T1 mouse metastatic breast cancer cell line,,,,
GSE3926,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,12,Anthracycline (doxorubicin or daunorubicin),Gastric; pancreatic; colon; and breast cancer,Human tumor cell lines (gastric; pancreatic; colon; and breast origin) and their counterparts resistant to anthracyclines (daunorubicin or doxorubicin),20010949,,,
GSE19136,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Paclitaxel,Cardiovascular disease,Human left internal mammary artery (LIMA),,,,
GSE19136,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Paclitaxel,Cardiovascular disease,Human left internal mammary artery (LIMA),,,,
GSE13736,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,,Staphylococcus aureus infection,Human umbilical vein endothelial cells (HUVEC),19845532,,,
GSE13736,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,,Staphylococcus aureus infection,Human umbilical vein endothelial cells (HUVEC),19845532,,,
GSE13525,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Carboplatin,Epithelial ovarian cancer (EOC),36M2 ovarian cancer cells (in vitro),19038057,,,
GSE13525,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Carboplatin,Epithelial ovarian cancer (EOC),36M2 ovarian cancer cells (in vitro),19038057,,,
GSE11467,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,12,Estrogen (E2) and Tumor necrosis factor alpha (TNFa),Breast cancer,MCF-7 breast cancer cells (in vitro),19920189,,,
GSE9490,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,Homocysteine,Atherosclerotic vascular disease,Human aortic smooth muscle cells (AoSMC),18602108,,,
GSE9490,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,Homocysteine,Atherosclerotic vascular disease,Human aortic smooth muscle cells (AoSMC),18602108,,,
GSE12211,GPL571,"[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array",12,Imatinib/Glivec,Chronic myelogenous leukemia (CML),Philadelphia Chromosome positive (Ph+) CD34+ cells from peripheral blood of CML patients,19052557,,,
GSE12211,GPL571,"[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array",12,Imatinib/Glivec,Chronic myelogenous leukemia (CML),Philadelphia Chromosome positive (Ph+) CD34+ cells from peripheral blood of CML patients,19052557,,,
GSE10123,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,mutant protein,Hutchinson-Gilford Progeria Syndrome (HGPS),hTERT-immortalized skin fibroblast cell line.,18311132,,,
GSE10123,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,mutant protein,Hutchinson-Gilford Progeria Syndrome (HGPS),hTERT-immortalized skin fibroblast cell line.,18311132,,,
GSE7626,GPL5121,DKFZ/Operon Human 11K Oligo Set v2.1,12,Mycophenolic acid (MPA),Potential wound healing problems post transplantation in renal transplant recipients,Human dermal fibroblasts and skin biopsies of renal transplant recipients,18786225,,,
GSE6960,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Water-soluble zinc ionophores,Cancer; specifically A549 lung cancer cells,A549 human lung cancer cells,18593933,,,
GSE6400,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Sapphyrin PCI-2050 and actinomycin D,Cancer; specifically A549 lung cancer cells,A549 human lung cancer cells,17233922,,,
GSE6400,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",12,Sapphyrin PCI-2050 and actinomycin D,Cancer; specifically A549 lung cancer cells,A549 human lung cancer cells,17233922,,,
GSE4846,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,Daudi cells (a human B lymphoblastoid cell line),,,,
GSE4812,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,AICAR (5-aminoimidazole-4-carboxamide ribonucleotide),,Daudi cells (a human B lymphoblastoid cell line) stimulated with anti-CD40 and/or IL-4 for 6 hr with or without AICAR pretreatment.,,,,
GSE5216,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,Saos2 Tet-Off cells with induced overexpression of GAS41; a cofactor of the general transcription factor IIF,,,,
GSE5216,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,Saos2 Tet-Off cells with induced overexpression of GAS41; a cofactor of the general transcription factor IIF,,,,
GSE4106,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,Jurkat cells (a human T cell leukemia cell line) were exposed to nanosecond pulsed electric fields; and the gene expression profiles before; 30min and 60min after exposure were surveyed.,,,,
GSE4106,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,12,,,Jurkat cells (a human T cell leukemia cell line) were exposed to nanosecond pulsed electric fields; and the gene expression profiles before; 30min and 60min after exposure were surveyed.,,,,
GSE3992,GPL3332,SHEJ,12,,Hepatitis B viral gene expression,HepG2.2.15 or PLC/PRF/5 cells (human liver cancer cell lines) were used in this experiment.,15316660,,,
GSE171853,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",12,Imatinib and ISRIB,Chronic Myeloid Leukemia (CML),Patient derived xenograft (PDX) model mice with CML cells,,,,
GSE207456,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),12,,Mycobacterium abscessus infection.,Human pluripotent stem cell-derived macrophages.,35985333,,,
GSE174740,GPL20301,Illumina HiSeq 4000 (Homo sapiens),11,Rapta-C; erlotinib; metformin and parthenolide,sunitinib-resistant renal cell carcinoma,human Caki-1 cell line,34439134,,,
GSE114462,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",11,,cancer,human cancer cell lines,30089904,,,
GSE100669,GPL11154,Illumina HiSeq 2000 (Homo sapiens),11,,Triple-negative breast cancer (TNBC),Patient-derived xenograft (PDX) models of TNBC clinical biopsy specimens were used in the study,28039356,,,
GSE84863,GPL11154,Illumina HiSeq 2000 (Homo sapiens),11,Methyl-methanesulfonate (MMS); etoposide; paclitaxel; and doxorubicin were used in the study.,The study used MDA-MB231 breast cancer and U2OS osteosarcoma cell lines.,The experiment was performed in vitro on cultured cells; specifically MDA-MB231 breast cancer and U2OS osteosarcoma cells.,27638861,,,
GSE61905,GPL17930,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [HuGene20stv1_Hs_ENTREZG_17.0.0],11,Thiopurine agent 6-mercaptopurine (6-MP) was used in the study.,The study focused on thiopurine resistance in the context of acute lymphoblastic leukemia (ALL).,Lymphoblastoid cell lines (LCLs) were used in the experiment to establish a transcriptomic signature of genes associated with thiopurine resistance.,26015807,,,
GSE54483,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",11,FOLFIRI (folinic acid; fluorouracil; and irinotecan) was used in the study.,colorectal cancer (CRC),Samples from patients with CRC,25375918,,,
GSE52036,GPL15433,Illumina HiSeq 1000 (Homo sapiens),11,,Aryl hydrocarbon receptor (AHR),Human breast cancer MCF-7 cells,24971714,,,
GSE30732,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],11,,human pancreatic beta cells,Human pancreatic beta cells,21984932,,,
GSE30732,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],11,,human pancreatic beta cells,Human pancreatic beta cells,21984932,,,
GSE29136,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,11,Prednisolone and MG132,Lymphoblastic leukemia,CCRF-CEM cells (human lymphoblastic leukemia cell line),22273806,,,
GSE21901,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",11,Cocaine,Addiction,Dorsal striatum (in rats and humans),20613834,,,
GSE17470,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,11,,Non-alcoholic steatohepatitis (NASH),Liver (human),20221393,,,
GSE15602,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",11,Adalimumab,Rheumatoid arthritis (RA),Synovial biopsies (human),19389237,,,
GSE180764,GPL20301,Illumina HiSeq 4000 (Homo sapiens),10,RARg agonist,Osteochondroma,Osteochondroma explants (human),,,,
GSE163161,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),10,Clozapine,Schizophrenia (Clozapine is an antipsychotic medication used for the treatment of schizophrenia),Excitatory cortical neurons derived from induced pluripotent stem cells (iPSCs),33681435; 33497908,,,
GSE160435,GPL24676; GPL29320	,Illumina NovaSeq 6000 (Homo sapiens; Severe acute respiratory syndrome coronavirus 2),10,Remdesivir,COVID-19,Human lung organoid,33905739,,,
GSE158767,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),10,,tuberculosis lesions in sputum-negative tuberculosis patients.,Lung tissues with high and low metabolic activity were collected from sputum-negative tuberculosis patients for RNA sequencing to identify potential long non-coding RNA (lncRNA) indicators of metabolic activity in tuberculosis lesions.,,,,
GSE149224,GPL20301,Illumina HiSeq 4000 (Homo sapiens),10,5-Fluorouracil (5FU),colon cancer,three colon cancer cell lines: RKO; HCT116; and SW480.,32846134,,,
GSE144232,GPL16791,Illumina HiSeq 2500 (Homo sapiens),10,Cisplatin was used to treat ovarian cancer cells.,ovarian cancer,Ovarian cancer cells,32589792,,,
GSE125404,GPL23159,[Clariom_S_Human] Affymetrix Clariom S Assay; Human (Includes Pico Assay),10,,liver metastatic colonization of colorectal cancer,colorectal cancer metastases and healthy colon and liver tissues,,,,
GSE140172,GPL11154,Illumina HiSeq 2000 (Homo sapiens),10,Pimasertib; a MEK inhibitor,Non-small cell lung cancer,two non-small cell lung cancer cell lines.,32640215,,,
GSE118179,GPL21290,Illumina HiSeq 3000 (Homo sapiens),10,ETC-159; a PORCN inhibitor,Pancreatic adenocarcinoma (PDAC) with RNF43 mutation,subcutaneous model of PDAC (HPAF-II).,33092630; 30300142,,,
GSE60540,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,10,Everolimus; an mTOR inhibitor,Relapsed/Refractory Acute Lymphoblastic Leukemia,Peripheral blood,,,,
GSE86861,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",10,,Breast cancer,MDA-MB-231 cells (a breast cancer cell line),29321622,,,
GSE62375,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,10,Rapamycin (used to test the effects of drug treatment),age-associated changes in immune cells in general,Peripheral blood mononuclear cells (PBMCs),25553802,,,
GSE55583,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),10,BRAF inhibitors (PLX4032 was specifically mentioned in the summary),Melanoma,Melanoma cell lines,24865425,,,
GSE54255,GPL13158,[HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,10,diclofenac,Drug-induced liver injury (DILI),Human liver slices,24752500,,,
GSE35499,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,10,,Central neurocytomas (CNs); pineocytoma (PC) and pineoblastoma (PB),Human brain (tumor tissue),22816789,,,
GSE33601,GPL9115,Illumina Genome Analyzer II (Homo sapiens),10,,Localized cutaneous leishmaniasis (LCL); mucosal leishmaniasis (ML),Human skin lesions caused by Leishmania braziliensis infection,23029578,,,
GSE10064,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,10,,Multiple sclerosis,B-lymphocytes,18237449,,,
GSE7114,GPL8300,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,10,Cyclophosphamide (CP),Chronic myelogenous leukemia (CML),CML cell line.,17403535,,,
GSE7114,GPL8300,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,10,Cyclophosphamide (CP),Chronic myelogenous leukemia (CML),CML cell line.,17403535,,,
GSE206434,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),9,,the pathophysiology of respiratory diseases that involve ASMCs; such as asthma.,human airway smooth muscle cells (hASMCs).,36835223,,,
